strategy,direction,entry_date,exit_date,days_held,trade_return,exit_reason
mean_reversion,-1,2022-08-15,2022-08-23,6,0.0337778135586149,regime_flip
vol_breakout,-1,2022-08-23,2022-08-24,1,0.0022403704344373,regime_flip
mean_reversion,1,2022-08-24,2022-08-29,3,-0.017363417782208398,regime_flip
vol_breakout,-1,2022-08-29,2022-09-06,5,0.0334286302011237,max_hold
vol_breakout,1,2022-09-08,2022-09-09,1,0.0065889668804413,regime_flip
mean_reversion,-1,2022-09-13,2022-09-14,1,0.0441991630319744,regime_flip
vol_breakout,-1,2022-09-14,2022-09-21,5,0.019711449876862103,max_hold
vol_breakout,1,2022-09-29,2022-10-03,2,-0.0365341463693073,trailing_stop
vol_breakout,1,2022-10-04,2022-10-05,1,0.0301253414168005,regime_flip
vol_breakout,-1,2022-10-10,2022-10-17,5,0.015670252633039703,max_hold
vol_breakout,-1,2022-10-17,2022-10-19,2,-0.0374982927646491,trailing_stop
vol_breakout,-1,2022-11-03,2022-11-07,2,-0.0028844007536062005,regime_flip
mean_reversion,-1,2022-11-11,2022-11-18,5,0.0024826395815830023,reverted
vol_breakout,-1,2022-12-16,2022-12-22,4,0.004453219520170798,regime_flip
vol_breakout,-1,2022-12-23,2022-12-27,1,-0.0058509522719152,regime_flip
mean_reversion,-1,2023-01-13,2023-01-19,3,0.0137286302640849,reverted
mean_reversion,-1,2023-01-27,2023-01-31,2,0.0105618352935881,reverted
vol_breakout,-1,2023-03-08,2023-03-15,5,0.016970546851320295,max_hold
vol_breakout,1,2023-03-15,2023-03-17,2,0.010404212319677699,regime_flip
mean_reversion,-1,2023-04-03,2023-04-11,5,4.8718686668999985e-05,reverted
mean_reversion,-1,2023-06-05,2023-06-12,5,-0.0038432174473469996,reverted
mean_reversion,-1,2023-06-15,2023-06-22,4,0.0015792361763224006,reverted
mean_reversion,-1,2023-07-03,2023-07-10,4,0.0116235389765683,reverted
mean_reversion,-1,2023-07-14,2023-07-26,8,-0.0126512118372444,reverted
mean_reversion,-1,2023-09-01,2023-09-14,8,0.0089626820081055,reverted
vol_breakout,-1,2023-09-22,2023-09-26,2,-0.0017167568010468,regime_flip
vol_breakout,-1,2023-09-27,2023-09-29,2,-0.0061051649152954,regime_flip
vol_breakout,-1,2023-10-04,2023-10-05,1,-0.0080770476078289,regime_flip
vol_breakout,-1,2023-10-23,2023-10-25,2,-0.0055525314541942,regime_flip
vol_breakout,-1,2023-10-26,2023-11-01,4,-0.001677639337767601,regime_flip
mean_reversion,-1,2023-11-03,2023-11-17,10,-0.0431655539122545,max_hold
mean_reversion,-1,2023-11-17,2023-11-29,7,-0.0102945257143269,reverted
mean_reversion,-1,2023-12-14,2023-12-21,5,0.0018584454663806513,reverted
mean_reversion,-1,2024-01-24,2024-02-02,7,-0.008513148837353601,reverted
mean_reversion,-1,2024-02-08,2024-02-14,4,0.0084216758936115,reverted
mean_reversion,-1,2024-03-25,2024-04-01,4,-0.0038460959186288994,reverted
mean_reversion,-1,2024-05-09,2024-05-23,10,-0.022743902940000102,reverted
mean_reversion,-1,2024-06-07,2024-06-24,10,-0.020644935620779698,max_hold
mean_reversion,-1,2024-07-08,2024-07-22,10,0.011233657612320896,max_hold
mean_reversion,1,2024-07-25,2024-08-08,10,-0.04284796038587399,max_hold
mean_reversion,1,2024-08-08,2024-08-12,2,0.0274419380252801,reverted
mean_reversion,-1,2024-08-15,2024-08-23,6,-0.0209388649626179,reverted
mean_reversion,-1,2024-09-16,2024-09-30,10,-0.019738062096577,max_hold
mean_reversion,-1,2024-10-15,2024-10-22,5,0.0010022541969157,reverted
mean_reversion,-1,2024-11-08,2024-11-22,10,0.00409168920273319,reverted
mean_reversion,1,2024-12-19,2024-12-26,4,0.0281880754026032,reverted
mean_reversion,-1,2025-01-22,2025-01-28,4,0.0061286744700554,reverted
mean_reversion,1,2025-02-28,2025-03-11,7,-0.0430542217808457,regime_flip
vol_breakout,-1,2025-03-11,2025-03-13,2,0.0027216789780447,regime_flip
vol_breakout,-1,2025-04-04,2025-04-10,4,-0.011126540051787398,regime_flip
vol_breakout,-1,2025-04-22,2025-04-23,1,-0.0248069521254503,regime_flip
mean_reversion,-1,2025-04-29,2025-05-12,9,-0.0234462684346448,reverted
mean_reversion,-1,2025-05-14,2025-05-29,10,-0.00033969988969499883,max_hold
mean_reversion,-1,2025-06-27,2025-07-09,7,-0.013666120814839602,reverted
mean_reversion,1,2025-08-04,2025-08-07,3,0.017015382930806,reverted
mean_reversion,-1,2025-08-11,2025-08-25,10,-0.012050206455141502,reverted
mean_reversion,1,2025-10-13,2025-10-23,8,0.022169808990621973,reverted
mean_reversion,-1,2025-10-30,2025-11-04,3,0.0056204565097336,reverted
mean_reversion,-1,2025-12-01,2025-12-08,5,-0.0031065405676196996,reverted
mean_reversion,-1,2025-12-26,2025-12-31,3,0.0051791870517002,reverted
mean_reversion,1,2026-01-21,2026-01-23,2,0.0169936183414626,reverted
mean_reversion,-1,2026-01-28,2026-02-02,3,0.005686373248620243,reverted
vol_breakout,-1,2026-03-09,2026-03-10,1,-0.008269871665389,regime_flip
vol_breakout,-1,2026-03-13,2026-03-16,1,0.0060775463985027,regime_flip
vol_breakout,-1,2026-03-19,2026-03-24,3,0.006618407836596001,regime_flip
vol_breakout,-1,2026-03-27,2026-04-01,3,-0.007898107530392603,regime_flip
mean_reversion,-1,2026-04-08,2026-04-22,10,-0.0653934051019272,max_hold
mean_reversion,-1,2026-05-07,2026-05-18,7,-0.005872630694625496,reverted
mean_reversion,-1,2026-05-28,2026-06-05,6,-0.008467656393902102,reverted
mean_reversion,1,2026-06-08,2026-06-23,10,0.011988111561356197,reverted
mean_reversion,-1,2026-08-05,2026-08-12,5,0.0010759748518987993,reverted
